Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Empowering social media users: nudge toward self-engaged verification for improved truth and sharing discernment,"Tu, FJ","How can we empower social media users to better discern the veracity of news and share less false news? This survey experiment (N = 636) assessed the effectiveness of two interventions-signing a Pro-Truth Pledge and utilizing a Fact-Checking Guide. Results showed that utilizing the Fact-Checking Guide increased skepticism of news posts, likelihood to verify news posts, verification engagement, and reduced intention to share news without regard to news veracity. Before and after comparisons indicated that after verification engagement activities, truth and sharing discernment improved with higher factual accuracy ratings for true news, lower accuracy ratings for false news, and a greater likelihood to share true news compared to false news. Individual's engagement in verification was identified as a crucial mechanism through which the Fact-Checking Guide intervention led to better truth and sharing discernment. The study could inform social media designs that promote a truthful news environment.",2024,2024 Mar 10,JOURNAL OF COMMUNICATION,74,3,225-236,,10.1093/joc/jqae007,,#193,Tu 2024,,Domain-Other; Intervention-based Individual; Intervention-lab
The use of an escape room as an immersive learning environment for building resilience to misinformation,"Cho, Y; Coward, C; Lackner, J; Windleharth, TW; Lee, JH","The rise of misinformation as a prominent societal challenge has given rise to a plethora of educational efforts aimed at equipping individuals with the knowledge and skills needed to successfully navigate this increasingly daunting information environment. Librarians are on the frontlines of this challenge and have called for new approaches that go beyond more conventional information literacy education. One approach gaining attention is games, and several have emerged with promising results, largely due to their immersive nature that allows players to experience the dynamics of misinformation. In particular, game environments can be designed to highlight the psychological and emotional dimensions of misinformation, arguably the most significant shortcoming of more skills-based approaches to discerning misinformation. In this study, we developed a misinformation escape room and conducted a pilot study in five public libraries to study its effectiveness. Initial findings are encouraging. The misinformation escape room program, consisting of the gameplay plus a debrief discussion, appeared to increase awareness of certain misinformation tactics (e.g. deepfakes), generate reflection on the psychological dimensions of misinformation, and shift attitudes in ways that made many players more cautious of misinformation, potentially influencing their future social media behaviors.",2023,2023 Nov 16,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,,,,,10.1177/09610006231208027,,#227,Cho 2023,,"Intervention - Informal (library, community center); Intervention-based Social; Topic - Game"
Teaching lateral reading: Interventions to help people read like fact checkers,"Mcgrew, S","People need more support learning to evaluate the credibility of online information. This article reviews recent research on interventions designed to teach lateral reading, the strategy of leaving an unfamiliar website to search for information about a source's credibility via additional sources. Interventions that use diverse designs to teach lateral reading and target participants in elementary school through adulthood have shown evidence of improving participants' digital evaluations. These interventions suggest that targeted and explicit instruction in lateral reading can help people both assess credible information and identify misinformation. Still, much more work is needed in a wider range of contexts to probe the design elements, duration, and teacher education needed to support successful interventions.",2024,2024 Feb,CURRENT OPINION IN PSYCHOLOGY,55,,,,10.1016/j.copsyc.2023.101737,,#235,Mcgrew 2024,,Review (Intervention)
Libraries Combating Disinformation: From the Front Line to the Long Game,"Tripodi, FB; Stevenson, JA; Slama, R; Reich, J","There is an urgent need to build the public's resilience in the face of disinformation. Nevertheless, librarians may be hesitant to assume a frontline role in confronting politicized misinformation. We conducted ethnographic observations and interviews across three Montana libraries to understand the informational needs and search habits of library patrons and the role that librarians play in promoting effective search practices. Montana poses unique challenges with regard to broadband speed and access; however, our findings replicated studies in school settings across the country regarding reliance on antiquated search literacy techniques. The librarians interviewed noted challenges with confronting patrons about specific information claims that might be politically sensitive, but they expressed confidence in their ability to build patron trust and teach effective search literacy practices. We built and tested interventions designed to enable librarians to build their skills and empower patrons to better confront misinformation now and in the future.",2023,2023 Jan,LIBRARY QUARTERLY,93,1,48-71,,10.1086/722551,,#240,Tripodi 2023,,"Demo - Public Library; Intervention - Informal (library, community center); Intervention-Field"
E-Learning Strategies for Media Literacy: Engagement of Interactive Digital Serious Games for Understanding Visual Online Disinformation,"Feltrero, R; Hernando, S; Ionescu, A","Digital interactive games are more than tools for entertainment and can be used as learning and training environments. This approach is giving rise to what is known as serious games. YouVerify! European project has developed a serious game called BotBusters to help young people cultivate the know-how to identify manipulated visual news. The game has been used as a distance learning tool in three different languages, French, Spanish and English, and has been applied to a large and open audience. Contributing to the literature body in the emerging field of online visual disinformation, this article aims to provide an analysis of the players' behavior and to assess to what extent the game has been able to attract their attention and achieve the objectives of therefore mentioned distance training tool. A quantitative methodology based on in-game post-play data will be used to study game engagement rate evolution. A detailed study of the inoculative strategies of the game determined which ones were more useful to avoid the drop-out of the tool. The findings of this analysis determine that this gamified intervention keeps high the level of users' engagement with the educational content and facilitate the inoculation of critical thinking to verify news and to avoid visual disinformation. Those findings will provide a better understanding of how young users reflect on media literacy and which is the best methodology to use on distance learning tools to motivate them to move from a simple opinion to constant and thorough verification.",2023,2023 Oct 2,AMERICAN JOURNAL OF DISTANCE EDUCATION,37,4,276-293,,10.1080/08923647.2023.2231814,,#252,Feltrero 2023,,Non US; Topic - Game
Sourcing against misinformation: Effects of a scalable lateral reading training based on cognitive apprenticeship,"Fendt, M; Nistor, N; Scheibenzuber, C; Artmann, B","The pervasive problem of misinformation requires fostering Internet users' information literacy. Existing in-terventions raise the question of how the skills enabling the discernment of truthful vs. fake news can be effi-ciently trained, and which training approaches may be scalable. We conducted a lateral reading training based on cognitive apprenticeship and assessed its effects on N = 312 participants using an online news credibility test. The quantitative, 3 x 2 experimental design included the factors training type (no training vs. cognitive apprenticeship with written instructions vs. cognitive apprenticeship with human trainers) and trainer education (undergraduate freshmen vs. graduate students of education). Overall, we found significant effects of the training type and marginal effects of the trainer education, but no significant differences between cognitive appren-ticeship with written instructions and cognitive apprenticeship with human trainers. The training effects per-tained mainly to participants' fake news identification ability, whereas their truthful news evaluation was changed little. In sum, participants' discernment of truthful vs. fake news was improved. Consequently, lateral reading training based on written instructions appears to be an effective and scalable media education intervention.",2023,2023 Sep,COMPUTERS IN HUMAN BEHAVIOR,146,,,,10.1016/j.chb.2023.107820,,#261,Fendt 2023,,Demo - University; Intervention Formal (classroom); Intervention-lab
What's the News About Bad News? A Review of Bad News Games as a Tool to Teach Media Literacy,"Barabas, R","This paper examines the Bad News series of games, created by the Cambridge University Social Decision Making Lab and DROG Group, as an educational tool. More specifically, it considers Bad News as a persuasive game, within the umbrella of gamification. After considering the history and context of the game, the educational, motivational, and informational theoretical frameworks of the games, research, and criticisms, this paper concludes that the games are not, in themselves, transformative.",2023,2023 Dec 15,LIBRI-INTERNATIONAL JOURNAL OF LIBRARIES AND INFORMATION STUDIES,73,4,283-292,,10.1515/libri-2023-0043,,#272,Barabas 2023,,Critique; Topic - Game; Topic - Psychology
Addressing COVID-19 Misinformation and Resiliency Among Latinos Living With HIV: Formative Research Guiding the Latinos Unidos Microgame Intervention,"Dunleavy, VO; Ahn, R; Mayo, D; Grace, LD","Besides the risk of coronavirus disease 2019 (COVID-19) itself, the indirect and unprecedented effects of mitigation strategies including shelter-in-place orders and social distancing combined with the widespread COVID ""infodemic"" disseminated by media interacted synergistically to worsen already compromised mental health outcomes of Latino people living with HIV (PLWH). This funded project directly addresses the sources of health disparity in Miami Dade County: mental health and misinformation by developing a culturally tailored resilience and media literacy intervention for Latinos living with HIV. Extant research on resilience strategies and media literacy skills have documented their effectiveness in assisting individuals make realistic appraisals and informed decisions that could benefit their health outcomes and improve health-related challenges. We utilized a community-based approach by collaborating with two local community partners (Open Arms and Borinquen) and conducting 27 qualitative interviews with Latino PLWH, infectious disease providers, and community health workers who directly informed content of the Latino Unidos microgame intervention. This article describes the formative research process guiding the Latinos Unidos microgame intervention-a three-module gamified intervention. Study outcomes provide the foundation for media and educational strategies that increase adherence to health guidance and enhance mental health responses to adversity as a response to the COVID-19 pandemic.",2022,2022 Sep 19,AMERICAN BEHAVIORAL SCIENTIST,,,,,10.1177/00027642221124660,,#275,Dunleavy 2022,,Demo - BIPOC; Domain-Health; Topic - Game
Confronting misinformation related to health and the environment: a systematic review,"Oliveira, T; Cardoso, ND; Machado, WD; Gonçalves, RA; Quinan, R; Salvador, EZ; Almeida, C; Paes, A","Confronting misinformation related to health and the environment comprises one of the major global concerns. Therefore, this systematic literature review, aims to identify the most used strategies to confront misinformation related to health, and the environment. The relevance of the interventions was assessed considering the frequency with which they are used and reported as effective. Five widely used databases were searched between 2010 and 2021 (Web of Science, Scopus, PsycINFO, Science Direct, IEEE Xplore). A total of 14.285 records were initially retrieved. Then, after applying inclusion and exclusion criteria, 32 peer-reviewed papers were included and analyzed in depth through this review. The results indicate that interventions based on credible information (debunking) were the most used among the included studies, followed by exposure and correction (debunking), inoculation, information, and media literacy (prebunking), and deliberation prompts (nudging). Most interventions had an effect size between small and medium, but most effects are limited to a specific myth/belief. We also found that most studies are conducted in the U.S. Therefore, experimental replication with same and different beliefs as outcomes and interventions cross-cultural adaptation to other countries are recommended.",2024,2024,JCOM-JOURNAL OF SCIENCE COMMUNICATION,23,1,,,10.22323/2.23010901,,#277,Oliveira 2024,,Domain-Environment; Domain-Health; Review (Intervention)
MAthE the Game: A Serious Game for Education and Training in News Verification,"Katsaounidou, A; Vrysis, L; Kotsakis, R; Dimoulas, C; Veglis, A","During the last years, there has been a growing multidisciplinary interest in alternative educational approaches, such as serious games, aiming at enhancing thinking skills and media literacy. Likewise, the objective of this study is to present the design and the development of an educational web application for learning the necessary steps towards the detection of bogus content, according to the fact-checking procedures. The game presents news articles, which have to be characterized as fake or real by the players. During the effort to reach the correct decision, the players can use tools and practices for identifying relevant information regarding the clues, which frame a news story (title, date, creator, source, containing images). After presenting the progress of interface design and development, this paper reports the results of a randomized online field study (n = 111), which provides some preliminary evidence. Specifically, it is validated that the game can raise awareness, teach about authentication tools, and highlight the importance of patterns that include evidence regarding the authenticity of articles. Additionally, thorough discussion was conducted within a media class (n = 35) to receive useful feedback/evaluation about the offered utilities and their usability. The findings suggest that educational games may be a promising vehicle to inoculate the public against misinformation.",2019,2019 Jun,EDUCATION SCIENCES,9,2,,,10.3390/educsci9020155,,#296,Katsaounidou 2019,,Non US; Topic - Game
Toolbox of individual-level interventions against online misinformation,"Kozyreva, A; Lorenz-Spreen, P; Herzog, SM; Ecker, UKH; Lewandowsky, S; Hertwig, R; Ali, A; Bak-Coleman, J; Barzilai, S; Basol, M; Berinsky, AJ; Betsch, C; Cook, J; Fazio, LK; Geers, M; Guess, AM; Huang, HF; Larreguy, H; Maertens, R; Panizza, F; Pennycook, G; Rand, DG; Rathje, S; Reifler, J; Schmid, P; Smith, M; Swire-Thompson, B; Szewach, P; van der Linden, S; Wineburg, S","The spread of misinformation through media and social networks threatens many aspects of society, including public health and the state of democracies. One approach to mitigating the effect of misinformation focuses on individual-level interventions, equipping policymakers and the public with essential tools to curb the spread and influence of falsehoods. Here we introduce a toolbox of individual-level interventions for reducing harm from online misinformation. Comprising an up-to-date account of interventions featured in 81 scientific papers from across the globe, the toolbox provides both a conceptual overview of nine main types of interventions, including their target, scope and examples, and a summary of the empirical evidence supporting the interventions, including the methods and experimental paradigms used to test them. The nine types of interventions covered are accuracy prompts, debunking and rebuttals, friction, inoculation, lateral reading and verification strategies, media-literacy tips, social norms, source-credibility labels, and warning and fact-checking labels.
 Kozyreva et al. review evidence from individual-level interventions for fighting online misinformation featured in 81 scientific papers. They classify the interventions in nine different types and summarize their findings in a toolbox.",2024,2024 Jun,NATURE HUMAN BEHAVIOUR,8,6,1044-1052,,10.1038/s41562-024-01881-0,,#307,Kozyreva 2024,,Intervention-based Individual; Review (Intervention)
Prominent misinformation interventions reduce misperceptions but increase scepticism,"Hoes, E; Aitken, B; Zhang, JW; Gackowski, T; Wojcieszak, M","Current interventions to combat misinformation, including fact-checking, media literacy tips and media coverage of misinformation, may have unintended consequences for democracy. We propose that these interventions may increase scepticism towards all information, including accurate information. Across three online survey experiments in three diverse countries (the United States, Poland and Hong Kong; total n = 6,127), we tested the negative spillover effects of existing strategies and compared them with three alternative interventions against misinformation. We examined how exposure to fact-checking, media literacy tips and media coverage of misinformation affects individuals' perception of both factual and false information, as well as their trust in key democratic institutions. Our results show that while all interventions successfully reduce belief in false information, they also negatively impact the credibility of factual information. This highlights the need for further improved strategies that minimize the harms and maximize the benefits of interventions against misinformation.
 This study reveals that current interventions against misinformation erode belief in accurate information. The authors argue that future strategies should shift their focus from only fighting falsehoods to also nurturing trust in reliable news.",2024,2024 Jun 10,NATURE HUMAN BEHAVIOUR,,,,,10.1038/s41562-024-01884-x,,#308,Hoes 2024,,Intervention-based Individual; Intervention-lab; Non US
Fighting the infodemic: the 4 i Framework for Advancing Communication and Trust,"Sundelson, AE; Jamison, AM; Huhn, N; Pasquino, SL; Sell, TK","Background The proliferation of false and misleading health claims poses a major threat to public health. This ongoing ""infodemic"" has prompted numerous organizations to develop tools and approaches to manage the spread of falsehoods and communicate more effectively in an environment of mistrust and misleading information. However, these tools and approaches have not been systematically characterized, limiting their utility. This analysis provides a characterization of the current ecosystem of infodemic management strategies, allowing public health practitioners, communicators, researchers, and policy makers to gain an understanding of the tools at their disposal.
 Methods A multi-pronged search strategy was used to identify tools and approaches for combatting health-related misinformation and disinformation. The search strategy included a scoping review of academic literature; a review of gray literature from organizations involved in public health communications and misinformation/disinformation management; and a review of policies and infodemic management approaches from all U.S. state health departments and select local health departments. A team of annotators labelled the main feature(s) of each tool or approach using an iteratively developed list of tags.
 Results We identified over 350 infodemic management tools and approaches. We introduce the 4 i Framework for Advancing Communication and Trust (4 i FACT), a modified social-ecological model, to characterize different levels of infodemic intervention: informational, individual, interpersonal, and institutional. Information-level strategies included those designed to amplify factual information, fill information voids, debunk false information, track circulating information, and verify, detect, or rate the credibility of information. Individual-level strategies included those designed to enhance information literacy and prebunking/inoculation tools. Strategies at the interpersonal/community level included resources for public health communicators and community engagement approaches. Institutional and structural approaches included resources for journalists and fact checkers, tools for managing academic/scientific literature, resources for infodemic researchers/research, resources for infodemic managers, social media regulation, and policy/legislation.
 Conclusions The 4 i FACT provides a useful way to characterize the current ecosystem of infodemic management strategies. Recognizing the complex and multifaceted nature of the ongoing infodemic, efforts should be taken to utilize and integrate strategies across all four levels of the modified social-ecological model.",2023,2023 Aug 30,BMC PUBLIC HEALTH,23,1,,,10.1186/s12889-023-16612-9,,#322,Sundelson 2023,,Domain-Health; Review (Intervention); Topic - Conceptual
Developing Resilience to Disinformation: A Game-Based Method for Future Communicators,"Cernicova-Buca, M; Ciurel, D","This paper analyzes the outcomes of a game-based educational process aiming to strengthen resilience to fake news. An innovative approach that considers linguistic choices as bases for manipulating information is used in an online classroom environment, students in communication being invited to understand, explain and reflect upon framing and information credibility, using as a topic of inquiry the refugee crisis of 2021 in Romania. Cognitive learning outcomes as well as learning dynamics were assessed using pre- and end-of game surveys. The results of the game are discussed in relation with the instructional goal to facilitate the understanding of communicative social actions, learning about disinformation that is deliberately misleading, as well as finding ways to break the disinformation code. The debriefing discussions after each stage of the game encouraged students to reflect upon their newly gained insights and increase their critical thinking capacity, in the effort to ensure a sustainable education in communication studies. The paper has the potential to enrich the educational strategies with innovative methods helping future professionals navigate the complex world of media messages.",2022,2022 May,SUSTAINABILITY,14,9,,,10.3390/su14095438,,#334,Cernicova-Buca 2022,,Intervention-based Social; Non US; Topic - Game
Instruction Increases Canadian Students' Preference for and Use of Lateral Reading Strategies to Fact-Check Online Information,"Brodsky, JE; Brooks, PJ; Pavlounis, D; Johnston, JL","Canadian middle and high school students (N = 2,278) completed a ""CTRL-F"" curriculum teaching them how to evaluate online information by reading laterally to investigate sources, check claims, and trace information to original contexts. A subset of CTRL-F students (N = 316) were in classes with teacher-matched control groups (N = 287). Some CTRL-F students (N = 994) completed a delayed posttest. At pretest, students indicated preference for some lateral reading strategies, but preference rarely translated into use. Following instruction, CTRL-F students showed greater preference for and use of lateral reading than controls and greater alignment between preference and use. The curriculum's impact varied by demographic factors but not by differences in implementation. Gains were maintained from posttest to delayed posttest. Direct instruction and practice in lateral reading appear to strengthen connections between students' preferences and utilization of these strategies to evaluate online content relevant to academic and personal life.",2023,2023,AERA OPEN,9,,,,10.1177/23328584231192106,,#340,Brodsky 2023,,Demo - Youth; Intervention Formal (classroom); Intervention-lab; Non US
The fake news game: actively inoculating against the risk of misinformation,"Roozenbeek, J; van der Linden, S","The rapid spread of online misinformation poses an increasing risk to societies worldwide. To help counter this, we developed a fake news game' in which participants are actively tasked with creating a news article about a strongly politicized issue (the European refugee crisis) using misleading tactics, from the perspective of different types of fake news producers. To pilot test the efficacy of the game, we conducted a randomized field study (N=95) in a public high school setting. Results provide some preliminary evidence that playing the fake news game reduced the perceived reliability and persuasiveness of fake news articles. Overall, these findings suggest that educational games may be a promising vehicle to inoculate the public against fake news.",2019,2019,JOURNAL OF RISK RESEARCH,22,5,570-580,,10.1080/13669877.2018.1443491,,#360,Roozenbeek 2019,,Demo - Youth; Intervention-based Social; Intervention-lab; Non US
With Games Against Fake News-Developing Critical Thinking with the Help of the Card Game Follow Me,"Pomichal, V; Trnka, A","Recent serious events, such as the coronavirus pandemic and the war conflict in Ukraine, have significantly increased the amount of fake news in the online space. This news contributes to society's radicalization, destabilizes democratic regimes, and can result in violence and damage to health and property. The most effective approach to address fake news is prevention and the education associated with it. The current education system is not ready for these challenges, which is why more and more attention is being paid to alternative solutions such as game-based learning. Game-based learning enables the acquisition of new knowledge and skills in a fun yet effective way. These games include a game developed by Impact Games studio named Follow me, which is focused on developing critical thinking skills in the context of countering fake news. This study aims to validate the contribution of the game Follow me in building resilience to fake news through an experiment on a sample of 130 secondary school students from six different schools. The results suggest that although there was no global statistically significant improvement measured in students' ability to recognize fake news, students are healthily skeptical of information, this is also indicated by the fact that on average they were more likely to label news as untrustworthy despite varying attitudes towards the selected topics. We also managed to make findings based on the data acquired from this experiment, which provide a deeper look into students' attitudes toward fake news and therefore can improve games and experiments prepared in the future.",2023,2023 Jun,MEDIA LITERACY AND ACADEMIC RESEARCH,6,1,,,10.34135/mlar-23-01-04,,#368,Pomichal 2023,,Demo - Youth; Intervention-based Social; Intervention-lab; Non US; Topic - Game
Strategies to combat misinformation: Enduring effects of a 15-minute online intervention on critical-thinking adolescents,"Orosz, G; Faragó, L; Paskuj, B; Krekó, P","How is it possible to socialize adolescents to become more vigilant in spotting fake news? In the present preregistered, randomized controlled trial (N = 1476), we aimed to implement a scalable, online countermisinformation intervention by promoting family-based prosocial values and putting them in an expert role to build resistance against misinformation among adolescents. In this intervention, participants were endowed with an expert role and requested to write a letter to their digitally less experienced relatives elucidating six strategies to identify misinformation. We found immediate effects of the intervention (d = 0.17), but these effects disappeared after four weeks. However, those high school students who followed the instructions (N = 791) and had a higher need for cognition demonstrated a substantial benefit in correctly spotting fake news four weeks after the intervention compared to the control group (d+1 SD need for cognition = 0.28, d+2 SD need for cognition = 0.51). The present work demonstrates the power of using classic social psychological components, such as a digital mindset, expertise role, and prosocial strategies, to achieve long-term behavioral change among certain adolescents. Our approach might complement prior nudge and inoculation interventions in the fight against misinformation in this age group.",2024,2024 Oct,COMPUTERS IN HUMAN BEHAVIOR,159,,,,10.1016/j.chb.2024.108338,,#382,Orosz 2024,,Demo - Youth; Intervention-lab; Topic - Psychology
Long-Term Effectiveness of Inoculation Against Misinformation: Three Longitudinal Experiments,"Maertens, R; Roozenbeek, J; Basol, M; van der Linden, S","This study investigates the long-term effectiveness of active psychological inoculation as a means to build resistance against misinformation. Using 3 longitudinal experiments (2 preregistered), we tested the effectiveness of Bad News, a real-world intervention in which participants develop resistance against misinformation through exposure to weakened doses of misinformation techniques. In 3 experiments (N-Exp1 = 151, N-Exp2 = 194, N-Exp3 = 170), participants played either Bad News (inoculation group) or Tetris (gamified control group) and rated the reliability of news headlines that either used a misinformation technique or not. We found that participants rate fake news as significantly less reliable after the intervention. In Experiment 1, we assessed participants at regular intervals to explore the longevity of this effect and found that the inoculation effect remains stable for at least 3 months. In Experiment 2, we sought to replicate these findings without regular testing and found significant decay over a 2-month time period so that the long-term inoculation effect was no longer significant. In Experiment 3, we replicated the inoculation effect and investigated whether long-term effects could be due to item-response memorization or the fake-to-real ratio of items presented, but found that this is not the case. We discuss implications for inoculation theory and psychological research on misinformation.",2021,2021 Mar,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,27,1,16-Jan,,10.1037/xap0000315,,#383,Maertens 2021,,Intervention-lab; Theory-Inoculation; Topic - Game
Fighting COVID-19 Misinformation through an Online Game Based on the Inoculation Theory: Analyzing the Mediating Effects of Perceived Threat and Persuasion Knowledge,"Ma, JJ; Chen, YD; Zhu, HY; Gan, YQ","The COVID-19 pandemic was accompanied by the rapid spread of misinformation through social media platforms. This study attempted to develop an online fake news game based on the inoculation theory, applicable to the pandemic context, and aimed at enhancing misinformation discrimination. It also tested whether perceived threat and persuasion knowledge serve as underlying mechanisms of the effects of the intervention on misinformation discrimination. In Study 1, we used online priming to examine the influence of inoculation on misinformation discrimination. In Study 2, we developed an online fake-news-game-based intervention and attempted to validate its effectiveness through a randomized controlled trial while also exploring the mediating roles of perceived threat and persuasion knowledge. In Study 1, brief inoculation information priming significantly enhanced the ability to recognize misinformation (F(2.502) = 8.321, p < 0.001, eta(2)(p) = 0.032). In Study 2, the five-day game-based intervention significantly enhanced the ability to recognize misinformation (F(2.322) = 3.301, p = 0.038, eta(2)(p) = 0.020). The mediation effect of persuasion knowledge was significant (beta = 0.025, SE = 0.016, 95% CI = [0.034, 0.075]), while that of perceived threat was not significant. Online interventions based on the inoculation theory are effective in enhancing misinformation discrimination, and one of the underlying mechanisms of this effect lies in its promotion of persuasion knowledge.",2023,2023 Jan,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,20,2,,,10.3390/ijerph20020980,,#385,Ma 2023,,Intervention-lab; Theory-Inoculation; Topic - Game
Tackling misinformation with games: a systematic literature review,"Kiili, K; Siuko, J; Ninaus, M","Misinformation and fake news are severe threats to society. The role of critical reading skills is crucial in the battle against misinformation. Despite the promising results of game-based interventions to mitigate the effects of misinformation, the corpus of research on games supporting critical reading skills needs an overview. Therefore, a systematic literature review was conducted to analyze how games have been used to tackle misinformation and reveal game design trends. A total of 15 papers eventually met the defined inclusion criteria and were analyzed. The review revealed that the use of games in critical reading education had emerged recently and focused mainly on fake news. Most games were grounded on inoculation theory and consequently designed to expose players to weakened doses of the misinformation manipulation techniques to build resistance against them. So far, the games have been studied mainly in informal settings and with adult participants. The median sample size was 196, and the median playing time was 15 min across the studies reported in the papers. Although all the reviewed papers reported positive outcomes, the game-based learning research on the critical reading domain is not yet mature enough to generalize findings.",2024,2024 Jan 4,INTERACTIVE LEARNING ENVIRONMENTS,,,,,10.1080/10494820.2023.2299999,,#386,Kiili 2024,,Critique; Review (Intervention); Topic - Game
Psychological Underpinnings of Misinformation Countermeasures,"Ziemer, CT; Rothmund, T","There has been substantial scholarly effort to (a) investigate the psychological underpinnings of why individuals believe in misinformation, and (b) develop interventions that hamper their acceptance and spread. However, there is a lack of systematic integration of these two research lines. We conducted a systematic scoping review of empirically tested psychological interventions (N = 176) to counteract misinformation. We developed an intervention map and analyzed boosting, inoculation, identity management, nudging, and fact-checking interventions as well as various subdimensions. We further examined how these interventions are theoretically derived from the two most prominent psychological accounts for misinformation susceptibility: classical and motivated reasoning. We find that the majority of misinformation studies examined fact-checking interventions, are poorly linked to basic psychological theory and not geared towards reducing motivated reasoning. Based on this, we outline future research avenues for effective psychological countermeasures against misinformation.",2024,2024 Jan 23,JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,,,,,10.1027/1864-1105/a000407,,#388,Ziemer 2024,,Review (Intervention); Topic - Psychology
Gamified Inoculation Interventions Do Not Improve Discrimination Between True and Fake News: Reanalyzing Existing Research With Receiver Operating Characteristic Analysis,"Modirrousta-Galian, A; Higham, PA","Gamified inoculation interventions designed to improve the detection of online misinformation are becoming increasingly prevalent. Two of the most notable interventions of this kind are Bad News and Go Viral!. To assess their efficacy, prior research has typically used pre-post designs in which participants rated the reliability or manipulativeness of true and fake news items before and after playing these games, while most of the time also including a control group who played an irrelevant game (Tetris) or did nothing at all. Mean ratings were then compared between pre-tests and post-tests and/or between the control and experimental conditions. Critically, these prior studies have not separated response bias effects (overall tendency to respond ""true"" or ""fake"") from discrimination (ability to distinguish between true and fake news, commonly dubbed discernment). We reanalyzed the results from five prior studies using receiver operating characteristic (ROC) curves, a method common to signal detection theory that allows for discrimination to be measured free from response bias. Across the studies, when comparable true and fake news items were used, Bad News and Go Viral! did not improve discrimination, but rather elicited more ""false"" responses to all news items (more conservative responding). These novel findings suggest that the current gamified inoculation interventions designed to improve fake news detection are not as effective as previously thought and may even be counterproductive. They also demonstrate the usefulness of ROC analysis, a largely unexploited method in this setting, for assessing the effectiveness of any intervention designed to improve fake news detection.",2023,2023 Sep,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,152,9,2411-2437,,10.1037/xge0001395,,#390,Modirrousta-Galian 2023,Ryan Murtfeldt (2024-09-05 04:55:34)(Select): Requested;,Intervention-lab; Theory-Inoculation; Topic - Game; Topic - Psychology
Towards psychological herd immunity: Cross-cultural evidence for two prebunking interventions against COVID-19 misinformation,"Basol, M; Roozenbeek, J; Berriche, M; Uenal, F; McClanahan, WP; van der Linden, S","Misinformation about the novel coronavirus (COVID-19) is a pressing societal challenge. Across two studies, one preregistered (n(1)=1771 and n(2)=1777), we assess the efficacy of two 'prebunking' interventions aimed at improving people's ability to spot manipulation techniques commonly used in COVID-19 misinformation across three different languages (English, French and German). We find that Go Viral!, a novel five-minute browser game, (a) increases the perceived manipulativeness of misinformation about COVID-19, (b) improves people's attitudinal certainty (confidence) in their ability to spot misinformation and (c) reduces self-reported willingness to share misinformation with others. The first two effects remain significant for at least one week after gameplay. We also find that reading real-world infographics from UNESCO improves people's ability and confidence in spotting COVID-19 misinformation (albeit with descriptively smaller effect sizes than the game). Limitations and implications for fake news interventions are discussed.",2021,2021 Jan,BIG DATA & SOCIETY,8,1,,,10.1177/20539517211013868,,#392,Basol 2021,,Theory-Inoculation; Topic - Game
Limits to inoculating against the risk of fake news: a replication study in Singapore during COVID-19,"Wong, CML; Wu, YY","The COVID-19 pandemic laid bare the problem of fake news as one of the defining challenges of our time. The sudden proliferation of fake news and its direct impact on public health and safety led to increasing attention to pre-bunking interventions as a possible tool against the risks of fake news. These studies claimed that it is possible to use pre-emptive interventions such as games to induce cognitive resistance against the deception techniques deployed by fake new producers. We wanted to test if this method could be as effective in a non-Western context, and in an on-going catastrophic risk event. This paper presents the results of a replication study of Roozenbeek and van der Linden's gaming experiment with certain modifications tailored to the case of Singapore in 2020 in the midst of the COVID-19 pandemic. We could not replicate the results of the original study. However, we found factors that could have accounted for the different results, including high levels of trust in English mainstream media and the government, and positive attitudes towards censorship. We also found that participants were most resistant against conspiratorial deception techniques but also more vulnerable to impersonation techniques. We reflect on what the results of our study say about the limitations of psychology-focused interventions and the need for a wider suite of interventions targeting different levels of analysis, including sociological factors and the risk context.",2023,2023 Oct 3,JOURNAL OF RISK RESEARCH,26,10,1037-1052,,10.1080/13669877.2023.2249909,,#394,Wong 2023,,Intervention-lab; Non US; Theory-Inoculation; Topic - Game; design implications
